"","title","price","price_without_discount","options","free_delivery_description","user_rating","number_of_user_ratings","units_sold_description"
"1","SAMSUNG Galaxy S24 Ultra Cell Phone, 512GB AI Smartphone, Unlocked Android, 200MP, 100x Zoom Cameras, Long Battery Life, S Pen, US Version, 2024, Titanium Black","$1,121.67","$1,419.99","2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.5 out of 5 stars","1,832 ","1K+ bought in past month"
"2","SAMSUNG Galaxy A15 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Expandable Storage, Knox Security, Super Fast Charging, US Version, 2024, Blue Black","$179.99","$199.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.0 out of 5 stars","679 ","3K+ bought in past month"
"3","SAMSUNG Galaxy A35 5G A Series Cell Phone, 128GB Unlocked Android Smartphone, AMOLED Display, Advanced Triple Camera System, Expandable Storage, Rugged Design, US Version, 2024, Awesome Navy","$313.99","$399.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.4 out of 5 stars","306 ","1K+ bought in past month"
"4","Samsung Galaxy A15 (SM-155M/DSN), 128GB 6GB RAM, Dual SIM, Factory Unlocked GSM, International Version (Wall Charger Bundle) (Light Blue)","$150.99",NA,NA,NA,"4.2 out of 5 stars","964 ","4K+ bought in past month"
"5","Motorola Moto G 5G | 2023 | Unlocked | Made for US 4/128GB | 48 MPCamera | Ink Blue, 163.94x74.98x8.39","$149.99","$249.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","821 ","2K+ bought in past month"
"6","Google Pixel 7a - Unlocked Android Cell Phone - Smartphone with Wide Angle Lens and 24-Hour Battery - 128 GB – Charcoal","$329.00","$499.00",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","4.3 out of 5 stars","2,522 ","1K+ bought in past month"
"7","Samsung Galaxy A03s Cell Phone, AT&T GSM Unlocked Android Smartphone, 32GB, Long Lasting Battery, Expandable Storage, 3 Camera Lenses, Infinite Display - Black (Renewed)","$73.00","$99.99",NA,NA,"3.8 out of 5 stars","643 ","3K+ bought in past month"
"8","Google Pixel 8 - Unlocked Android Smartphone with Advanced Pixel Camera, 24-Hour Battery, and Powerful Security - Obsidian - 128 GB","$514.95","$699.00","3 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","2,470 ","1K+ bought in past month"
"9","Samsung Galaxy S21 Ultra 5G, US Version, 128GB, Phantom Black - Unlocked (Renewed)","$264.95","$282.99",NA,NA,"3.9 out of 5 stars","2,442 ","3K+ bought in past month"
"10","Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)","$245.00",NA,"2 sizes",NA,"4.0 out of 5 stars","2,089 ","1K+ bought in past month"
"11","Motorola razr | 2023 | Unlocked | Made for US 8/128 | 32MP Camera | Sage Green, 73.95 x 170.82 x 7.35mm","$399.99","$699.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.0 out of 5 stars","472 ","400+ bought in past month"
"12","OnePlus 12R, 8GB RAM+128GB, Dual-SIM, US Factory Unlocked Android Smartphone, 5500 mAh Battery, 50MP Camera, 80W Fast Charging, 2024, Iron Gray","$429.99","$499.99","2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.4 out of 5 stars","437 ","300+ bought in past month"
"13","TracFone Motorola Moto g Play, 32GB, Black - Prepaid Smartphone (Locked)","$49.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.0 out of 5 stars","272 ","500+ bought in past month"
"14","Samsung Galaxy A15 A155M 128GB Dual-SIM GSM Unlocked Android Smartphone (Latin America Version) - Blue Black","$138.55",NA,NA,NA,"4.3 out of 5 stars","609 ","2K+ bought in past month"
"15","Apple iPhone 13, 128GB, Blue - Unlocked (Renewed)","$399.00",NA,"3 sizes",NA,"4.1 out of 5 stars","12,361 ","1K+ bought in past month"
"16","Google Pixel 8a - Unlocked Android Phone with Google AI, Advanced Pixel Camera and 24-Hour Battery - Obsidian - 128 GB","$499.00",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","456 ","2K+ bought in past month"
"17","Xiaomi Redmi Note 13 PRO 5G + 4G LTE (256GB + 8GB) 6.67"" 200MP Triple (Tmobile Mint Tello & Global) Global Bands Unlocked + (Fast Car Dual Charger Bundle) (Aurora Purple (Global ROM))","$284.97",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.6 out of 5 stars","1,000 ","100+ bought in past month"
"18","Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)","$194.99","$249.00",NA,NA,"3.9 out of 5 stars","6,345 ","2K+ bought in past month"
"19","Tracfone | Motorola Moto g Play 2024 | Locked | 64GB | 5000mAh Battery | 50MP Quad Pixel Camera | 6.5-in. HD+ 90Hz Display | Sapphire Blue","$49.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Thu, Oct 10","4.1 out of 5 stars","60 ","500+ bought in past month"
"20","Motorola Moto G Power 5G | 2023 | Unlocked | Made for US 6/256GB | 50 MPCamera | Mineral Black","$299.97",NA,"2 sizes","FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.2 out of 5 stars","1,351 ","1K+ bought in past month"
"21","CUBOT King Kong 9 Rugged Phone Unlocked Android 14-24GB RAM+512GB ROM Cell Phone, 10600mAh(33W) Battery, 100MP Camera Smartphone, 6.58''FHD+120Hz Dual Screen, G99/4G Dual SIM/IP68/IP69K/NFC/GPS","$299.99",NA,NA,"FREE delivery Sun, Oct 13 Or fastest delivery Thu, Oct 10","5.0 out of 5 stars","5 ",NA
"22","OnePlus Nord N30 5G | Unlocked Dual-SIM Android Smart Phone | 6.7"" LCD Display | 8 +128GB | 5000 mAh Battery | 50W Fast Charging | 108MP Camera | Chromatic Gray","$249.99","$299.99",NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","4.3 out of 5 stars","994 ","1K+ bought in past month"
"23","Unlocked Smartphone, 6.3 inch HD Display, Android10.0, Dual SIM, Dual Cameras, 1GB RAM+16GB ROM (Expandable to 128GB), Support: WiFi, Bluetooth, GPS 3G Mobile Phones (Golden)","$65.99",NA,NA,"FREE delivery Sat, Oct 12 Or fastest delivery Wed, Oct 9","2.9 out of 5 stars","170 ",NA
